Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,19.992163,20.402718,19.992163,20.282228,19.502331,5292754
2015-12-30,20.313465,20.349167,20.103727,20.103727,19.330692,2659495
2016-01-04,19.545910,19.702099,18.970242,19.144281,18.408138,10874965
2016-01-05,19.715487,19.724411,19.135357,19.452196,18.704214,7489150
2016-01-06,19.336170,19.536985,19.099655,19.291546,18.549742,7130077
2016-01-07,18.867603,19.014868,18.407963,18.876530,18.150684,11562341
2016-01-08,18.903303,19.126431,18.265162,18.265162,17.562824,8803404
2016-01-11,18.149136,18.805128,18.149136,18.479362,17.768787,8905912
2016-01-12,18.577539,19.037180,18.448126,18.756041,18.034826,7081250
2016-01-13,18.947929,19.260307,18.532913,18.648939,17.931845,6785052
2016-01-14,18.327637,18.367800,17.569006,17.854609,17.168056,15700992
2016-01-15,17.841221,17.966171,17.011189,17.118290,16.460051,12560094
2016-01-18,17.024576,17.216467,16.462297,16.556009,15.919393,11449086
2016-01-19,17.020115,17.238777,16.761288,16.832687,16.185432,7935436
2016-01-20,16.332884,16.511385,15.717053,15.815229,15.207098,13066893
2016-01-21,15.172624,15.373438,14.306892,15.284187,14.696474,28278920
2016-01-22,15.583177,15.913405,15.373438,15.690278,15.086950,14548337
2016-01-25,15.859854,15.859854,14.726370,14.824546,14.254508,13818236
2016-01-26,14.574644,15.297575,14.257804,15.279725,14.692184,13431143
2016-01-27,15.297575,15.328813,14.985197,15.266337,14.679312,8139984
2016-01-28,15.038748,15.266337,14.351517,14.436305,13.881196,15320486
2016-01-29,14.721908,14.766533,14.253341,14.637119,14.074287,14981327
2016-02-01,14.721908,14.820083,14.494318,14.565719,14.005632,12979470
2016-02-02,14.516631,14.516631,13.940964,13.998977,13.460684,16426748
2016-02-03,13.833863,13.833863,13.039531,13.155557,12.649695,21655760
2016-02-04,13.432235,13.708912,13.128782,13.521485,13.001553,16876895
2016-02-05,13.494710,13.878488,13.307284,13.628586,13.104535,15612484
2016-02-08,13.699987,13.717837,12.017610,12.334451,11.860163,25800026
2016-02-09,12.584353,12.999368,11.629370,11.807871,11.353830,25952097
2016-02-10,12.307675,13.771387,12.048848,13.012756,12.512385,32044994
2016-02-11,12.758392,12.758392,11.723083,12.213962,11.744307,28154950
2016-02-12,12.521877,13.731224,12.437089,13.655361,13.130281,31092656
2016-02-15,14.311354,14.324742,13.418847,13.615199,13.091663,18397090
2016-02-16,13.717837,13.726762,12.771779,13.579498,13.057335,16985671
2016-02-17,13.548260,14.521093,13.418847,14.440768,13.885488,16039569
2016-02-18,14.538944,14.547869,13.735687,13.842788,13.310500,15208585
2016-02-19,13.762462,14.056990,13.374222,13.566111,13.044462,15485949
2016-02-22,13.668749,14.141778,13.628586,14.101615,13.559375,11725910
2016-02-23,13.985589,14.150703,13.561648,13.583961,13.061626,12509751
2016-02-24,13.543798,13.628586,13.003831,13.070769,12.568168,12706368
2016-02-25,13.280508,13.588423,13.191258,13.423309,12.907151,12043774
2016-02-26,13.606273,14.271191,13.588423,14.199791,13.653776,11515976
2016-02-29,14.021289,14.280116,13.704449,14.266729,13.718142,9957492
2016-03-01,14.199791,14.601419,14.061452,14.583569,14.022797,8674293
2016-03-02,14.726370,15.413601,14.699595,15.333275,14.743675,13822546
2016-03-03,15.449301,15.971418,15.288650,15.743828,15.138442,12688841
2016-03-04,15.886630,16.140993,15.721516,16.078520,15.460263,13848314
2016-03-07,15.975880,16.060669,15.342200,15.833079,15.224261,9633730
2016-03-08,15.538552,15.917867,15.342200,15.498389,14.902440,10473643
2016-03-09,15.440376,15.766141,15.221712,15.368975,14.778003,9383537
2016-03-10,15.382363,16.645262,15.199399,15.235099,14.649274,27087520
2016-03-11,15.543014,16.404284,15.529627,16.368584,15.739173,18173463
2016-03-14,16.618486,16.810375,16.408747,16.538160,15.902230,12963521
2016-03-15,16.422134,16.515846,15.980343,16.109756,15.490299,11014044
2016-03-16,16.163307,16.207932,15.114611,15.395751,14.803748,19573040
2016-03-17,15.574252,15.609952,14.494318,15.083373,14.503383,16002429
2016-03-18,15.136924,15.493926,14.744220,15.239562,14.653565,19169940
2016-03-21,15.123536,15.592102,14.945034,15.096761,14.516255,8668177
2016-03-22,14.922722,14.922722,14.516631,14.909334,14.336035,10304456
2016-03-23,14.989660,15.110148,14.355980,14.480931,13.924107,11102501
2016-03-24,14.351517,14.454155,13.860638,13.936501,13.400610,11254260
2016-03-29,14.030214,14.213178,13.525948,13.713374,13.186064,8549933
2016-03-30,13.842788,14.021289,13.512560,13.525948,13.005843,11945182
2016-03-31,13.441160,13.521485,13.177870,13.342984,12.829915,12659339
2016-04-01,13.160020,13.717837,13.079694,13.307284,12.795588,11958530
2016-04-04,13.267121,13.414384,13.052919,13.209108,12.701188,9900721
2016-04-05,12.941356,12.950281,12.526340,12.539727,12.057547,12055088
2016-04-06,12.584353,12.901193,12.463864,12.642366,12.156239,13405849
2016-04-07,12.673603,12.709304,12.205037,12.267513,11.795799,11903738
2016-04-08,12.245200,12.620053,12.245200,12.486177,12.006055,11331778
2016-04-11,12.495102,12.811942,12.338913,12.495102,12.014636,11724513
2016-04-12,12.584353,12.678066,12.155949,12.477252,11.997473,13892224
2016-04-13,12.709304,13.713374,12.678066,13.713374,13.186064,21256711
2016-04-14,13.744612,13.940964,13.459010,13.758000,13.228973,13402811
2016-04-15,13.655361,13.726762,13.441160,13.699987,13.173191,7766527
2016-04-18,13.432235,14.012364,13.307284,13.945426,13.409191,9695624
2016-04-19,14.061452,14.297967,13.905263,13.958814,13.422066,10816854
2016-04-20,13.945426,14.726370,13.860638,14.672820,14.108616,13619964
2016-04-21,14.739758,15.181549,14.677282,14.918259,14.344617,13037300
2016-04-22,14.860246,15.136924,14.797771,14.994122,14.417563,8376534
2016-04-25,15.007510,15.087836,14.244416,14.347055,13.795378,10824361
2016-04-26,14.396142,14.851321,14.271191,14.672820,14.108616,9579453
2016-04-27,14.708520,15.034285,14.681745,14.904872,14.331745,8968625
2016-04-28,15.083373,15.654578,14.927184,15.493926,14.898149,15189815
2016-04-29,15.306500,15.342200,14.699595,14.699595,14.134362,12655909
2016-05-02,14.788846,14.811158,14.137315,14.306892,13.756759,8756998
2016-05-03,14.204253,14.204253,13.387609,13.409922,12.894279,14419132
2016-05-04,13.454547,13.650899,13.186795,13.338521,12.825624,11759402
2016-05-05,13.418847,13.432235,12.981518,13.057381,12.555294,8634936
2016-05-06,12.950281,13.284971,12.704841,13.155557,12.649695,12954854
2016-05-09,13.298358,13.481322,13.021681,13.075232,12.572458,8311534
2016-05-10,13.218033,13.646436,13.218033,13.392072,12.877115,9342653
2016-05-11,13.325134,13.436697,12.977056,13.137707,12.632531,9108105
2016-05-12,13.026144,13.409922,12.896730,12.959206,12.460895,8399280
2016-05-13,12.914580,13.222495,12.736079,13.097544,12.593913,8038994
2016-05-17,12.896730,13.356371,12.736079,12.861030,12.366493,12990042
2016-05-18,12.785167,13.182332,12.646828,13.160020,12.653987,10404617
2016-05-19,13.342984,13.691062,13.244808,13.334059,12.821334,11690629
2016-05-20,13.494710,13.615199,13.351909,13.508098,12.988680,8306463
2016-05-23,13.548260,13.686599,13.271583,13.530410,13.010134,7578969
2016-05-24,13.329596,13.909726,13.271583,13.887413,13.353410,8445314
2016-05-25,14.056990,14.503243,14.039140,14.364905,13.812542,13025216
2016-05-26,14.280116,14.547869,14.043602,14.449693,13.894069,9346974
